ID,NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M)
69176499999,CLARK INTL,RP,,,15.183,120.567,148
69185499999,VILLAMOR,RP,,,14.517,121.017,23
69200499999,EDWIN ANDREWS AB,RP,,,6.933,122.067,10.1
69705499999,TACLOBAN,RP,,,11.233,125.033,3
69713499999,ILOILO,RP,,,10.717,122.533,8
69717499999,MACTAN CEBU INTL,RP,,,10.317,123.95,9
69719499999,ORMOC,RP,,,11.067,124.567,25
69807499999,GUIUAN,RP,,,11.033,125.75,6.4
74930699999,SANGA SANGA,RP,,RPMN,5.047,119.743,4.6
74931599999,GUIUAN PHILIPPINES,RP,,,11.033,125.716,8
98132099999,ITBAYAT,RP,,,20.8,121.85,124
98133099999,CALAYAN,RP,,,19.267,121.467,13
98134099999,BASCO RADAR,RP,,,20.433,121.967,167
98135099999,BASCO,RP,,RPUO,20.451,121.98,88.7
98136099999,BASCO RADAR,RP,,,20.433,121.95,167
98222099999,VIGAN,RP,,RPUQ,17.555,120.356,4.9
98223099999,LAOAG INTL,RP,,RPLI,18.178,120.532,7.6
98231099999,APARRI RADAR,RP,,,18.367,121.617,-999.9
98232099999,APARRI,RP,,RPUA,18.367,121.633,3
98233099999,TUGUEGARAO,RP,,RPUT,17.638,121.731,21.3
98321099999,STO. TOMAS,RP,,,16.35,120.567,2256
98322099999,CROW VALLEY GUNNERY RANGE,RP,,,15.317,120.383,161
98323099999,NAULA POINT,RP,,,15.7,119.967,5
98324099999,IBA/LUZON ISLAND,RP,,RPUI,15.333,119.967,5
98325099999,DAGUPAN,RP,,RPUG,16.083,120.35,2
98326099999,BASA AB,RP,,RPUF,14.983,120.483,46
98327599999,CLARK INTL,RP,,,15.183,120.55,151
98328099999,BAGUIO,RP,,RPUB,16.375,120.62,1295.7
98329099999,MUNOZ,RP,,,15.733,120.933,76
98330099999,CABANATUAN,RP,,,15.467,120.95,32
98333099999,BALER,RP,,RPUR,15.73,121.5,32.9
98334099999,BALER RADAR,RP,,,15.75,121.633,178
98336099999,CASIGURAN,RP,,,16.267,122.133,4
98423599999,MAMBURAO,RP,,RPUM,13.217,120.6,4
98425099999,MANILA,RP,,,14.583,120.983,13
98426041231,SUBIC BAY WEATHER,RP,,RPLB,14.8,120.267,19
98426099999,SUBIC BAY INTL,RP,,RPLB,14.794,120.271,19.5
98427099999,TAYABAS,RP,,,14.017,121.6,158
98428041224,SANGLEY POINT,RP,,RPLS,14.5,120.9,4
98428099999,SANGLEY POINT AB,RP,,RPLS,14.495,120.904,2.4
98429099999,NINOY AQUINO INTL,RP,,RPLL,14.509,121.02,22.9
98429599999,NICHOLS AB,RP,,RPAF,14.517,121.017,23
98430099999,SCIENCE GARDEN,RP,,,14.65,121.05,46
98431099999,CALAPAN/MINDORO ISL,RP,,RPUK,13.417,121.183,41
98432099999,AMBULONG,RP,,,14.083,121.05,11
98433099999,TANAY,RP,,,14.583,121.367,651
98434099999,INFANTA,RP,,,14.75,121.65,7
98435099999,ALABAT,RP,,,14.1,122.017,5
98436099999,FERNANDO AB,RP,,RPUL,13.955,121.125,371.9
98437099999,SAN FRANCISCO,RP,,,13.367,122.517,45
98437599999,MARINDUQUE,RP,,RPUW,13.361,121.826,9.8
98438099999,JOMALIG / QUEZON,RP,,RPLJ,14.7,122.333,-999.9
98439099999,DAET/BAGASBAS,RP,,,14.117,122.95,10
98440099999,DAET,RP,,RPUD,14.129,122.98,3
98442099999,PILI,RP,,,13.583,123.267,35
98442599999,NAGA,RP,,RPUN,13.585,123.27,43.3
98444099999,LEGAZPI,RP,,RPLP,13.157,123.746,20.1
98446099999,VIRAC,RP,,RPUV,13.576,124.206,36.9
98447099999,CATANDUANES RADAR,RP,,,13.654,124.341,233
98526099999,CORON,RP,,,12.217,120.2,60
98531099999,SAN JOSE,RP,,RPUH,12.362,121.047,4.3
98536099999,ROMBLON,RP,,,12.583,122.283,47
98536141231,CUBI POINT NAVAL AIR STATION,RP,,RPMB,14.8,120.267,18.3
98537099999,KALIBO/AKLAN,RP,,RPVK,11.683,122.383,6
98537599999,KALIBO/PANAY ISLAND,RP,,RPVK,11.683,122.367,7
98538099999,ROXAS,RP,,RPVR,11.598,122.752,3
98543099999,MASBATE,RP,,RPVJ,12.369,123.629,7.9
98545099999,CALBAYOG/WESTERN,RP,,RPVC,12.067,124.533,3
98545599999,CALBAYOG/SAMAR ISL,RP,,RPVC,12.083,124.55,3
98546099999,CATARMAN,RP,,RPVF,12.502,124.636,1.8
98548099999,CATBALOGAN,RP,,RPVY,11.783,124.883,5
